family support;competition;appearance;God's love;accademic competence;virtue;other's approval
17;28;23;5;25;17;24
19;31;13;5;22;31;18
26;22;26;11;26;20;8
22;22;22;5;21;20;24
26;23;19;24;18;26;21
31;29;32;7;33;31;21
34;34;31;19;34;27;20
20;32;23;7;24;24;24
21;26;25;12;23;23;26
21;31;22;5;27;10;12
26;26;25;23;29;24;25
23;28;14;5;27;28;15
23;26;23;5;23;21;17
27;23;27;5;29;20;24
19;13;11;5;18;22;13
28;15;21;5;17;27;13
16;14;15;10;13;23;33
28;28;26;7;27;25;11
23;20;14;5;27;21;15
27;29;24;5;29;26;17
22;20;10;5;25;27;18
25;24;25;25;23;23;19
23;19;18;5;25;25;15
27;28;28;18;28;24;21
28;27;26;6;30;22;19
26;25;17;5;25;8;15
30;17;14;5;32;25;28
21;21;22;6;22;25;26
21;11;17;18;26;27;13
24;19;23;34;25;28;21
26;19;14;11;30;31;17
20;23;23;6;23;17;10
26;25;24;8;27;27;29
18;12;24;5;18;7;16
21;25;25;5;27;30;21
33;22;25;20;35;34;26
12;9;9;35;5;18;12
21;12;24;5;17;21;24
27;29;20;35;34;32;24
26;20;24;20;26;26;15
24;7;13;5;32;31;19
19;31;26;22;30;22;19
30;25;27;5;27;30;32
32;17;18;8;31;33;34
29;30;22;5;33;17;26
30;21;12;5;25;29;22
32;26;31;17;26;27;29
19;6;8;5;13;13;14
28;24;23;5;25;21;24
13;18;16;10;16;12;5
18;20;23;24;16;8;5
28;26;27;5;33;20;28
22;18;23;11;20;17;19
20;19;16;5;22;24;12
30;22;20;28;25;18;12
29;22;25;5;29;16;19
31;16;21;20;24;23;15
29;27;17;11;28;25;22
24;30;26;29;26;23;16
27;22;24;13;31;20;22
17;28;26;5;24;31;30
26;24;16;5;17;27;15
9;10;9;5;5;9;6
26;26;32;9;28;26;30
26;25;26;5;26;24;32
22;25;16;14;26;22;10
19;23;28;5;30;21;13
24;30;27;5;33;21;8
29;28;22;6;28;19;25
25;23;30;5;26;29;31
22;22;22;5;23;24;20
28;24;27;5;28;23;24
32;13;19;5;29;19;31
23;17;12;5;25;25;16
24;23;22;21;30;16;20
29;30;26;5;32;22;31
17;25;21;31;35;22;17
20;27;19;5;28;24;20
26;23;24;20;23;23;19
32;23;25;9;35;27;27
30;29;27;27;31;23;25
